Date,Open,High,Low,Volume,Close
01-07-2010,5,5.184,4.054,41094000,4.392
02-07-2010,4.6,4.62,3.742,25699000,3.84
06-07-2010,4,4,3.166,34334500,3.222
07-07-2010,3.28,3.326,2.996,,3.16
08-07-2010,3.228,3.504,3.114,38557000,3.492
09-07-2010,3.516,3.58,3.31,20253000,3.48
12-07-2010,3.59,3.614,3.4,11012500,3.41
13-07-2010,3.478,3.728,3.38,13400500,3.628
14-07-2010,3.588,4.03,3.552,20976000,3.968
15-07-2010,3.988,4.3,3.8,18699000,3.978
16-07-2010,4.14,4.26,4.01,13106500,4.128
19-07-2010,4.274,4.45,4.184,12432500,4.382
20-07-2010,4.37,4.37,4.01,9126500,4.06
21-07-2010,4.132,4.18,3.9,6262500,4.044
22-07-2010,4.1,4.25,4.074,4789000,4.2
23-07-2010,4.238,4.312,4.212,3268000,4.258
26-07-2010,4.3,4.3,4.06,4611000,4.19
27-07-2010,4.182,4.236,4.052,3098500,4.11
28-07-2010,4.11,4.18,4.102,2336000,4.144
29-07-2010,4.154,4.176,4,3080000,4.07
30-07-2010,4.04,4.088,3.91,2134500,3.988
02-08-2010,4.1,4.194,4.066,3590500,4.184
03-08-2010,4.2,4.39,4.164,6152500,4.39
04-08-2010,4.39,4.436,4.17,4565000,4.252
05-08-2010,700000,4.31,4.01,3981000,4.09
06-08-2010,4.02,4.032,3.904,3709500,3.918
09-08-2010,3.98,3.996,3.89,4063500,3.92
10-08-2010,3.93,3.93,3.764,6406500,3.806
11-08-2010,3.738,3.776,3.57,3988000,3.58
12-08-2010,3.56,3.58,3.478,3455000,3.52
13-08-2010,3.636,3.69,3.532,3170000,3.664
16-08-2010,3.69,3.76,3.652,2429000,3.756
17-08-2010,3.792,3.88,3.756,2239500,3.83
18-08-2010,3.918,3.918,3.72,3006500,3.754
19-08-2010,3.708,3.85,3.666,2895500,3.758
20-08-2010,3.73,3.822,3.702,1480000,3.82
23-08-2010,3.818,4.078,3.8,5440500,4.026
24-08-2010,3.85,3.942,3.79,3365500,3.84
25-08-2010,3.832,3.996,3.712,2516500,3.98
26-08-2010,3.978,4.054,3.92,2169000,3.95
27-08-2010,3.95,3.974,3.9,1898000,3.94
30-08-2010,3.94,4.038,3.922,3664000,3.974
31-08-2010,3.932,3.958,3.866,1005500,3.896
01-09-2010,3.924,4.138,3.92,2474500,4.09
02-09-2010,4.074,4.248,4.062,2435500,4.212
03-09-2010,4.174,4.26,4.132,2173000,4.21
07-09-2010,4.122,4.2,4.1,1217000,4.108
08-09-2010,4.132,4.19,4.12,1442000,4.18
09-09-2010,4.2,4.21,4.138,1881000,4.142
10-09-2010,4.15,4.186,3.952,1933000,4.034
13-09-2010,4.178,4.18,4.1,1804000,4.144
14-09-2010,4.108,4.32,4.106,3273500,4.224
15-09-2010,4.196,4.4,4.158,3423000,4.396
16-09-2010,4.43,4.632,4.168,13422500,4.188
17-09-2010,4.204,4.264,3.96,5992500,4.046
20-09-2010,4.134,4.27,4.032,4737500,4.212
21-09-2010,4.178,4.31,4.134,3980000,4.154
22-09-2010,4.174,4.19,3.96,4814500,3.974
23-09-2010,3.978,4.028,3.9,,3.912
24-09-2010,3.99,4.038,3.93,2894500,4.02
27-09-2010,4.08,4.162,4.01,2093000,4.106
28-09-2010,4.208,4.298,4.152,6072500,4.28
29-09-2010,4.238,4.406,4.226,9846500,4.396
30-09-2010,4.4,4.43,4.038,10979000,4.082
01-10-2010,4.138,4.15,4.062,2988500,4.12
04-10-2010,4.086,4.234,4.06,3218000,4.198
05-10-2010,4.23,4.256,4.202,1660000,4.224
06-10-2010,4.212,4.252,4.064,1567000,4.092
07-10-2010,4.114,4.128,4.068,705000,4.086
08-10-2010,4.086,4.158,4.078,1339000,4.086
